Distance_Riparian_Buffer,Distance_Farmland,HID,overall_in,individual,EAF,Dist_Floodplain,conversion_1937_1957,conversion_1957_1974,conversion_1974_1996,evergreen_forest,overall_numeric,total_conversion
136.620987964478,0.0,252.0,25-50%,"MIVI-3,LOJA-2,ELUM-1,ROMU-1,LISE-1,CEOR-2,BETH-1,CIVU-1,RUPH-2,HEHI-1,LOJA-1,PATO-1",38.74509803921568,814.5782959545355,2.646250725526704,97.35274578269892,0.0,93.09883274882776,3,99.99899650822562
300.0,0.0,253.0,75-100%,"MIVI-4,CEOR-4,LISE-1,LOJA-1,RUPH-1,ALJU-1",58.2,1281.67774863933,9.343229988751231,91.34767797179651,0.0,6.842800884678072,5,100.69090796054775
137.0865609663639,0.0,254.0,50-75%,"MIVI-4,CEOR-3,LISE-1,RUPH-1,ELUM-1,LOJA-1,ROMU-1",42.064516129032256,898.3041073949959,23.01330155416925,77.37301789191923,0.0,61.13506459747662,4,100.38631944608848
137.08653049843764,0.0,255.0,50-75%,"MIVI-4,CEOR-3,RUPH-3,LOJA-1,ALJU-1,CIVU-2,LISE-2",36.8421052631579,646.7952420984274,0.0,74.68152611755059,0.0,0.0,4,74.68152611755059
137.10769975145556,0.0,256.0,50-75%,"MIVI-3,LISE-2,CEOR-3,RUPH-2,PATO-1,LOJA-2,RUCR-1,ROMU-1",35.78947368421053,578.1046456140801,0.0,99.99990768006157,0.0,0.0,4,99.99990768006157
133.40487181620543,0.0,257.0,75-100%,"RUCR-1,LOJA-2,LISI-2,HEHI-1,ROMU-1,MIVI-3,CEOR-2,CAAC-1,RUPH-4,
",36.12903225806452,822.0225777929695,0.0,0.0,88.69324961628902,0.0,5,88.69324961628902
300.0,0.0,258.0,25-50%,"MIVI-2,LISE-1,ROMU-1,CAAC-2,LOJA-2,CEOR-3",32.57142857142857,818.1782777119251,0.0,0.0,99.99987718798589,0.0,3,99.99987718798589
137.08654798412573,0.0,259.0,25-50%,"MIVI-2,LISE-1,ROMU-1,CAAC-2,LOJA-2,CEOR-3",26.0,520.9288493988166,0.0,0.0,94.17785811038279,0.0,3,94.17785811038279
300.0,173.03765312193855,264.0,25-50%,"RUPH-2,MIVI-3,LOJA-1,PATO-2,CEOR-1,ROMU-1,LISE-1",64.14285714285714,675.0093334999221,0.0,0.0,0.0,0.0,3,0.0
300.0,361.2447826002455,265.0,5-25%,"CEOR-2,MIVI-2,LISE-1,RUPH-1",45.30909090909091,698.7818510362152,0.0,0.0,0.0,0.0,2,0.0
300.0,522.8542918586501,266.0,5-25%,"CEOR-2,MIVI-2,LISE-1,RUPH-1",43.71428571428572,580.9596443182701,0.0,0.0,0.0,4.782920399764958,2,0.0
300.0,331.102948986272,267.0,5-25%,"RUPH-1,CEOR-2,LOJA-1",61.73913043478261,538.781197421119,0.0,0.0,0.0,78.57791863454517,2,0.0
300.0,449.292008524493,268.0,5-25%,"MIVI-1,LOJA-1,EUFO-1,CEOR-3",41.77777777777778,553.9986065690879,0.0,0.0,0.0,65.59094023924361,2,0.0
300.0,0.0,261.0,25-50%,"MIVI-2,RUPH-3,ELUM-2,CEOR-2,PATO-1,EUFO,ROMU-1,BETH-1,HEHI-1,LOJA-1,LOMA-1",53.4,475.81220472795195,0.0,0.0,0.0,0.0,3,0.0
300.0,132.55059381754492,260.0,50-75%,"MIVI-3,LOJA-2,PATO-1,CEOR-4,RUPH-2,LISE-1,ROMU-1",59.59183673469388,459.9583486214114,0.0,0.0,0.0,0.0,4,0.0
300.0,182.82943064810243,80.0,50-75%,"RUPH-2,CEOR-4,MIVI-4,PATO-1,BETH-1,LOJA-1",12.23076923076923,300.0,0.0,0.0,0.0,0.0,4,0.0
45.69550271388035,145.97736095207415,143.0,25-50%,"MIVI-3,ALJU-2,LOJA-1,LISE-2,ROMU-2,PATO,RUCR-1",10.933333333333334,300.0,0.0,70.63729374747926,0.0,29.675170444686938,3,70.63729374747926
45.69548531585951,0.0,145.0,25-50%,"LISE-2,CEOR-2,MIVI-3,LOJA-1,RUPH-2,ROMU-1,ALJU-1",27.151515151515152,300.0,0.0,77.5599947945055,0.0,56.49685336004355,3,77.5599947945055
45.69550271315754,7.358812075813512,147.0,25-50%,"ROMU-1,CEOR-2,ALJU-1,MIVI-2,LISE-2,RUPH-2,PATO-1",16.0,300.0,0.0,57.214090485927805,0.0,0.0,3,57.214090485927805
45.70258587267229,0.0,149.0,25-50%,"MIVI-3,ROMU-2,LISE-2,CEOR-2,LOJA-1,RUPH-1,CAAC-1",25.03703703703704,300.0,0.0,67.25712982104044,0.0,0.0,3,67.25712982104044
45.69534100135154,0.0,151.0,25-50%,"MIVI-3,ROMU-2,LISI-2,RUPH-1,LOJA-1,ARHI-1",24.695652173913043,300.0,33.34091849693899,2.46952539407157,41.14156966361258,0.0,3,76.95201355462314
45.69550133414285,0.0,153.0,50-75%,"MIVI-4,CEOR-3,LISE-2,LOJA-1,PATO-1,ROMU-2,CAAC-1",18.88888888888889,300.0,0.0,0.0,88.04106132650833,0.0,4,88.04106132650833
45.6955184253728,219.68804593898795,157.0,25-50%,"MIVI-3,LISE-1,CEOR-3,RUPH-2,LOJA-1",31.55555555555556,300.0,0.0,8.720429360716834,0.0,96.28060244230848,3,8.720429360716834
300.0,244.68401403386983,163.0,5-25%,"RUPH-1,CEOR-2,LOJA-1",31.33333333333333,300.0,0.0,0.0,0.0,99.99993516027554,2,0.0
300.0,416.59482583306954,165.0,5-25%,"MIVI-1,LOJA-1,EUFO-1,CEOR-3",23.657142857142855,300.0,0.0,0.0,0.0,99.51753652568688,2,0.0
300.0,529.93522171342,169.0,25-50%,"MIVI-3,CEOR-3,ROMU-1,LOJA-1,RUPH-1",25.756097560975608,300.0,0.0,0.0,0.0,12.044923509570614,3,0.0
300.0,443.7222821603162,171.0,25-50%,"CEOR-2,PATO-1,MIVI-3,ROMU-1,LISE-1,LOJA-1",16.19047619047619,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,169.65016942035535,173.0,25-50%,"MIVI-4,CEOR-2,ROMU-1,LOJA-1,PATO-2,ELUM-1,RUPH-2",51.28358208955224,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,343.00789580884305,175.0,25-50%,"MIVI-3,CEOR-3,BETH-1,LOJA-1,LISE-1,RUPH-1,ROMU-1,PATO-1,HEHI-1",36.53333333333333,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,55.51419649905539,177.0,5-25%,"MIVI-3,RUPH-2,HEHI-1,CEOR-2,ROMU-1,PATO-2,ELUM-1,LOJA-1",78.78260869565217,300.0,0.0,0.0,0.0,0.0,2,0.0
300.0,428.3988598412527,181.0,25-50%,"PATO-1,CEOR-3,MIVI-2,RUPH-1,LOJA-1",14.461538461538462,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,0.0,183.0,25-50%,"MIVI-3,PATO-2,RUPH-3,EUFO-1,LOJA-1,CEOR-2",41.81818181818183,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,0.0,187.0,25-50%,"CEOR-3,MIVI-3,RUPH-2,LOJA-1,PATO-1,LISE-1",41.172413793103445,300.0,0.0,0.0,0.0,0.0,3,0.0
300.0,316.5595248881814,191.0,50-75%,"MIVI-3,LOJA-2,PATO-1,CEOR-4,RUPH-2,LISE-1,ROMU-1",33.163636363636364,300.0,0.52639434833034,0.0,0.0,0.0,4,0.52639434833034
