state,called,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,Total 2016 Votes
Alabama,R,849624,1441170,32488,36.6000,62.0000,1.4000,-25.5000,2.3000,9.4000,AL,2123372.00
Alaska,R,153778,189951,15801,42.8000,52.8000,4.4000,-10.1000,4.7000,12.8000,AK,318608.00
Arizona,D,1672143,1661686,53497,49.4000,49.1000,1.6000,0.3000,3.9000,31.6000,AZ,2573165.00
Arkansas,R,423932,760647,34490,34.8000,62.4000,2.8000,-27.6000,-0.7000,7.8000,AR,1130635.00
California,D,11110250,6006429,384192,63.5000,34.3000,2.2000,29.2000,-0.9000,23.4000,CA,14181595.00
Colorado,D,1804352,1364607,87993,55.4000,41.9000,2.7000,13.5000,8.6000,17.1000,CO,2780220.00
Connecticut,D,1080831,714717,28309,59.3000,39.2000,1.6000,20.1000,6.4000,10.9000,CT,1644920.00
Delaware,D,296268,200603,7475,58.7000,39.8000,1.5000,19.0000,7.6000,14.2000,DE,441590.00
Florida,R,5297045,5668731,101680,47.9000,51.2000,0.9000,-3.4000,-2.2000,17.5000,FL,9420039.00
Georgia,D,2473633,2461854,62229,49.5000,49.3000,1.2000,0.2000,5.4000,22.1000,GA,4092373.00
Hawaii,D,366130,196864,11475,63.7000,34.3000,2.0000,29.5000,-2.7000,33.9000,HI,428937.00
Idaho,R,287021,554119,26091,33.1000,63.9000,3.0000,-30.8000,1.0000,25.6000,ID,690255.00
Illinois,D,3471915,2446891,114938,57.5000,40.6000,1.9000,17.0000,-0.1000,9.0000,IL,5536424.00
Indiana,R,1242413,1729516,61183,41.0000,57.0000,2.0000,-16.1000,3.1000,10.9000,IN,2734958.00
Iowa,R,759061,897672,34138,44.9000,53.1000,2.0000,-8.2000,1.2000,8.0000,IA,1566031.00
Kansas,R,570323,771406,30574,41.6000,56.2000,2.2000,-14.7000,5.9000,15.9000,KS,1184402.00
Kentucky,R,772474,1326646,37648,36.2000,62.1000,1.8000,-25.9000,3.9000,11.1000,KY,1924149.00
