ID,groomed,sex,cl,worm_spp
ex100,0,F,34.18,ingens
ex101,0,M,35.43,ptero
ex103,0,F,43.42,fallax
ex104,0,M,23.2,ank
ex105,1,F,12.14,ingens
ex106,0,M,26.7,ingens
ex107,0,F,20.79,ingens
ex108,0,F,29.45,ank
ex109,1,M,27.12,ingens
ex110,1,M,13.1,ank
ex111,0,F,27.22,ingens
ex112,0,M,36.94,ank
ex113,0,F,25.06,ptero
ex114,0,F,18.26,fallax
ex115,0,M,30.33,fallax
ex116,0,F,14.11,ank
ex117,0,F,25.16,fallax
ex118,1,F,24.76,fallax
ex119,0,M,36.35,fallax
ex120,0,M,28.07,ptero
ex121,0,M,27.55,ptero
ex122,1,M,14.2,ingens
ex123,0,M,38.56,fallax
ex124,0,M,24.22,ptero
ex125,0,M,39.05,fallax
ex126,0,M,38.68,ptero
ex127,0,F,28.19,fallax
ex17,1,M,25.03,ank
ex18,1,F,20.35,fallax
ex19,0,M,38.67,ptero
ex20,0,F,37.72,fallax
ex21,1,F,21.2,ingens
ex22,0,M,27.27,ingens
ex23,0,F,28.71,ptero
ex24,0,M,20.59,ingens
ex25,0,F,39.11,ptero
ex26,1,F,22.17,ingens
ex27,0,M,26.05,ank
ex28,0,F,29.92,fallax
ex29,0,F,35.19,ptero
ex30,1,M,26.94,ptero
ex31,0,M,38.54,fallax
ex32,1,M,24.59,ptero
ex33,1,F,23.33,ingens
ex34,0,M,31.39,ptero
ex35,1,F,19.23,ank
ex36,0,M,33.78,ingens
ex37,0,M,28.51,ank
ex38,1,M,30.03,ingens
ex39,1,M,19.38,ank
ex40,1,F,20.08,fallax
ex54,1,F,20.7,fallax
ex55,0,M,42.1,ingens
ex56,0,F,28.8,ank
ex57,0,F,36,ank
ex58,0,M,27,fallax
ex59,0,F,24.5,fallax
ex60,0,M,28,fallax
ex61,0,M,20.5,ank
ex63,0,M,17.5,ingens
ex64,0,F,25.5,ptero
ex65,0,F,40.5,ingens
ex66,0,F,27.03,ank
ex67,0,F,32.84,ank
ex68,0,F,34.31,ank
ex69,0,M,39.35,ank
ex70,0,F,34.35,ptero
ex71,1,F,14.4,ptero
ex72,1,M,25.59,ingens
ex73,0,M,23.91,fallax
ex74,0,F,24.65,fallax
ex75,1,M,15.78,ank
ex76,0,F,31.2,ptero
ex77,1,F,14.31,ptero
ex78,1,F,14.09,fallax
ex79,1,M,24.75,ank
ex80,0,F,38.66,ank
ex81,0,F,26.21,ank
ex82,1,F,27.5,ingens
ex83,0,M,38.11,ingens
ex85,1,M,23.69,fallax
ex86,0,F,29.08,ingens
ex87,1,F,13.52,ptero
ex88,0,F,42.9,ank
ex89,1,M,14.54,ptero
ex90,1,F,12.11,fallax
ex92,1,F,23.12,ptero
ex93,1,F,13.08,ptero
ex95,0,F,24.68,ank
ex96,1,M,24.74,ingens
ex97,0,M,33.96,fallax
ex98,0,F,34.42,ingens
ex99,0,F,27.97,ptero
