Year,Cluster,Species,Constructor,Adults,cav_ht_ft,cav_age,eggs_laid,hatched_eggs,failed_eggs
1999,clus_2,longleaf,RCW,4,17,69,4,3,1
1999,clus_3,longleaf,RCW,3,19,127,3,3,0
1999,clus_4,longleaf,RCW,3,18,65,4,2,2
1999,clus_5,longleaf,Human,2,21,157,3,2,1
1999,clus_6,longleaf,RCW,5,11,76,3,2,1
1999,clus_7,longleaf,RCW,3,14,77,4,2,2
1999,clus_10,longleaf,RCW,3,22,175,4,2,2
1999,clus_11,longleaf,Human,3,21,129,3,3,0
1999,clus_13,longleaf,Human,3,11,76,2,2,0
1999,clus_17,longleaf,RCW,4,33,138,4,3,1
1999,clus_18,loblolly,RCW,3,23,65,6,2,4
1999,clus_19,loblolly,Human,3,21,78,2,2,0
1999,clus_20,longleaf,RCW,2,18,72,3,2,1
1999,clus_21,loblolly,RCW,2,20,98,4,3,1
1999,clus_24,longleaf,RCW,4,25,69,2,1,1
1999,clus_25,longleaf,Human,3,21,144,2,2,0
1999,clus_28,longleaf,RCW,5,17,76,4,3,1
1999,clus_29,longleaf,Human,4,31,116,3,2,1
1999,clus_31,longleaf,Human,3,11,126,3,3,0
1999,clus_32,loblolly,RCW,3,22,118,3,1,2
1999,clus_35,longleaf,Human,3,11,97,3,2,1
1999,clus_37,longleaf,Human,3,21,149,3,3,0
1999,clus_42,longleaf,Human,3,11,118,4,2,2
1999,clus_43,longleaf,RCW,3,30,78,2,2,0
1999,clus_45,longleaf,Human,2,11,77,4,2,2
1999,clus_46,longleaf,Human,2,21,77,4,0,4
1999,clus_47,longleaf,Human,3,22,137,4,3,1
1999,clus_48,loblolly,Human,3,16,78,3,2,1
1999,clus_49,longleaf,RCW,5,12,72,4,3,1
1999,clus_50,longleaf,Human,3,21,58,4,3,1
1999,clus_51,longleaf,RCW,4,23,102,4,3,1
1999,clus_52,longleaf,RCW,3,20,107,4,3,1
1999,clus_53,longleaf,RCW,2,25,120,3,3,0
1999,clus_54,pond pine,RCW,2,15,87,4,3,1
2000,clus_1,loblolly,RCW,3,15,70,4,4,0
2000,clus_2,longleaf,RCW,2,17,69,4,3,1
2000,clus_3,longleaf,RCW,4,19,127,2,2,0
2000,clus_4,longleaf,RCW,3,18,65,4,3,1
2000,clus_5,longleaf,Human,2,21,157,4,3,1
2000,clus_6,longleaf,RCW,5,11,76,5,4,1
2000,clus_7,longleaf,RCW,3,14,77,4,2,2
2000,clus_10,longleaf,RCW,2,22,175,3,3,0
2000,clus_11,longleaf,Human,2,21,129,4,2,2
2000,clus_13,longleaf,Human,3,11,84,3,3,0
2000,clus_15,longleaf,Human,5,11,119,2,1,1
2000,clus_17,longleaf,Human,3,20,105,3,3,0
2000,clus_18,loblolly,RCW,3,23,65,7,2,5
2000,clus_19,loblolly,Human,3,21,78,4,2,2
2000,clus_21,loblolly,Human,2,15,129,3,1,2
2000,clus_24,longleaf,RCW,2,25,69,3,2,1
2000,clus_28,longleaf,RCW,4,17,76,3,3,0
2000,clus_29,longleaf,Human,4,31,116,4,2,2
2000,clus_31,longleaf,Human,3,11,126,3,3,0
2000,clus_32,loblolly,RCW,3,22,118,4,2,2
2000,clus_35,loblolly,RCW,3,20,72,4,3,1
2000,clus_36,longleaf,Human,2,16,85,4,3,1
2000,clus_37,longleaf,Human,3,21,149,3,2,1
2000,clus_39,loblolly,RCW,2,24,89,3,3,0
2000,clus_42,longleaf,Human,3,11,118,4,2,2
2000,clus_43,longleaf,RCW,2,30,78,3,3,0
